"PERIODO","FECHA","ZONA","DIRECCION_EXACTA","CLASE_ACCIDENTE","SEGUNDO_OBJETO","TIPO_AVERIAS","CANTIDAD_HERIDOS","CANTIDAD_FALLECIDOS","LATITUD","LONGITUD","INTERSECCI_N"
"2,022","2022 Jul 20 12:00:00 AM","URBANA","CARRERA-12-CALLE-7-SUR","CHOQUE","VEHICULO","0","1","0","3.8891525","-76.3063757","POINT (-76.3063757 3.8891525)"
"2,022","2022 Jul 21 12:00:00 AM","URBANA","CALLE-2-CARRERA-10","CHOQUE","VEHICULO","1","0","0","3.8949017","-76.2991862","POINT (-76.2991862 3.8949017)"
"2,022","2022 Jul 26 12:00:00 AM","URBANA","CALLE-5-CARRERA-7","CHOQUE","VEHICULO","1","0","0","3.8963315","-76.2961727","POINT (-76.2961727 3.8963315)"
"2,022","2022 Jul 30 12:00:00 AM","URBANA","CALLE-8-CARRERA-11","ATROPELLO","NA","0","0","1","3.9001156","-76.2985593","POINT (-76.2985593 3.9001156)"
"2,022","2022 Jul 30 12:00:00 AM","URBANA","CARRERA-12-CALLE-6","CHOQUE","VEHICULO","1","0","0","3.8987171","-76.3000321","POINT (-76.3000321 3.8987171)"
"2,022","2022 Jul 31 12:00:00 AM","URBANA","CALLE-16-CARRERA-10","CHOQUE","VEHICULO","0","1","0","3.9065629","-76.295364","POINT (-76.295364 3.9065629)"
"2,022","2022 Aug 04 12:00:00 AM","URBANA","CALLE-6-CARRERA-13","CHOQUE","VEHICULO","0","1","0","3.8989771","-76.3008787","POINT (-76.3008787 3.8989771)"
"2,022","2022 Aug 07 12:00:00 AM","URBANA","CARRERA-10-CALLE-3","ATROPELLO","NA","0","1","0","3.8958414","-76.2989938","POINT (-76.2989938 3.8958414)"
"2,022","2022 Aug 08 12:00:00 AM","URBANA","CALLE-21-CARRERA-8","CHOQUE","VEHICULO","1","0","0","3.90991","-76.2915603","POINT (-76.2915603 3.90991)"
"2,022","2022 Aug 12 12:00:00 AM","URBANA","CARRERA-19-CALLE-3","CHOQUE","VEHICULO","1","0","0","3.8980191","-76.3072671","POINT (-76.3072671 3.8980191)"
"2,022","2022 Aug 12 12:00:00 AM","URBANA","Carrera-14-Calle-19","CAIDA-OCUPANTE","VEHICULO","0","1","0","3.9102","-76.2971673","POINT (-76.2971673 3.9102)"
"2,022","2022 Aug 14 12:00:00 AM","URBANA","CARRERA-8-CALLE-6","CHOQUE","VEHICULO","0","1","0","3.8974525","-76.2966198","POINT (-76.2966198 3.8974525)"
"2,022","2022 Aug 14 12:00:00 AM","URBANA","CARRERA-7AE-CARRERA-24","CHOQUE","VEHICULO","0","1","0","3.8969303","-76.3110354","POINT (-76.3110354 3.8969303)"
"2,022","2022 Aug 18 12:00:00 AM","URBANA","CARRERA-9-CALLE-9","CHOQUE","VEHICULO","0","1","0","3.9003669","-76.2965099","POINT (-76.2965099 3.9003669)"
"2,022","2022 Aug 27 12:00:00 AM","URBANA","CARRERA-16-CALLE-3","CHOQUE","VEHICULO","0","1","1","3.8971515","-76.3044776","POINT (-76.3044776 3.8971515)"
"2,022","2022 Aug 28 12:00:00 AM","URBANA","CARRERA-13-CALLE-2","CHOQUE","VEHICULO","0","1","0","3.8956052","-76.3020871","POINT (-76.3020871 3.8956052)"
"2,022","2022 Aug 29 12:00:00 AM","URBANA","CALLE-13-CARRERA-6","CHOQUE","VEHICULO","0","1","0","3.9002823","-76.2872189","POINT (-76.2872189 3.9002823)"
"2,022","2022 Sep 03 12:00:00 AM","URBANA","CALLE-16-CARRERA-16","CHOQUE","VEHICULO","0","1","0","3.9089655","-76.300298","POINT (-76.300298 3.9089655)"
"2,022","2022 Sep 10 12:00:00 AM","URBANA","CARRERA-18-CALLES-11","CHOQUE","VEHICULO","0","1","0","3.9049962","-76.3036329","POINT (-76.3036329 3.9049962)"
"2,022","2022 Sep 11 12:00:00 AM","URBANA","CALLE-6-SUR-CARRERA-11","ATROPELLO","NA","0","1","0","3.8905579","-76.299469","POINT (-76.299469 3.8905579)"
"2,022","2022 Sep 15 12:00:00 AM","URBANA","CALLE-7-CARRERA-6","CHOQUE","VEHICULO","0","1","0","3.8922969","-76.2931648","POINT (-76.2931648 3.8922969)"
"2,022","2022 Sep 16 12:00:00 AM","URBANA","CALLE-7-CARRERA-7","CHOQUE","VEHICULO","0","1","0","3.8980403","-76.2953901","POINT (-76.2953901 3.8980403)"
"2,022","2022 Sep 20 12:00:00 AM","URBANA","CALLE-10-CARRERA-13","CHOQUE","VEHICULO","0","1","0","3.9024844","-76.2996531","POINT (-76.2996531 3.9024844)"
"2,022","2022 Sep 24 12:00:00 AM","URBANA","BATALLON-PALACE--BIOSALUDABLE","CHOQUE","VEHICULO","0","0","1","3.891717","-76.288994","POINT (-76.288994 3.891717)"
"2,022","2022 Sep 24 12:00:00 AM","URBANA","CARRERA-1-CALLE-7","CHOQUE","VEHICULO","0","1","0","3.8961376","-76.2907721","POINT (-76.2907721 3.8961376)"
"2,022","2022 Sep 23 12:00:00 AM","URBANA","CARRERA-14-CALLE-23","CHOQUE","VEHICULO","0","1","0","3.9132665","-76.2959832","POINT (-76.2959832 3.9132665)"
"2,022","2022 Sep 24 12:00:00 AM","URBANA","CARRERA-15-CALLE-27A","CHOQUE","VEHICULO","0","0","1","3.9164895","-76.2960852","POINT (-76.2960852 3.9164895)"
"2,022","2022 Oct 01 12:00:00 AM","URBANA","CALLE-23-CARRERAS-11","ATROPELLO","NA","0","1","0","3.9123683","-76.2938305","POINT (-76.2938305 3.9123683)"
"2,022","2022 Oct 04 12:00:00 AM","URBANA","CARRERA-16-CALLE-20","CHOQUE","VEHICULO","0","1","0","3.9121224","-76.2991201","POINT (-76.2991201 3.9121224)"
"2,022","2022 Oct 15 12:00:00 AM","URBANA","CALLE-5-CARRERA-7","CHOQUE","VEHICULO","0","1","0","3.8963315","-76.2961727","POINT (-76.2961727 3.8963315)"
"2,022","2022 Oct 15 12:00:00 AM","URBANA","CARRERA-19-CALLE-4","CHOQUE","0-DISPONIBLE","0","1","0","3.8986127","-76.3069452","POINT (-76.3069452 3.8986127)"
"2,022","2022 Oct 22 12:00:00 AM","URBANA","CARRERA-12-CALLE-2SUR","CHOQUE","VEHICULO","0","1","0","3.892779","-76.3017798","POINT (-76.3017798 3.892779)"
"2,022","2022 Oct 23 12:00:00 AM","URBANA","CARRERA--18-CALLE-14","CHOQUE","VEHICULO","0","1","0","3.907548","-76.3026847","POINT (-76.3026847 3.907548)"
"2,022","2022 Nov 01 12:00:00 AM","URBANA","CARRERA-1-CALLE-8","ATROPELLO","NA","0","0","1","3.8969606","-76.2905613","POINT (-76.2905613 3.8969606)"
"2,022","2022 Nov 04 12:00:00 AM","URBANA","CALLE-16-CARRERA-27","CHOQUE","VEHICULO","0","1","0","3.9131437","-76.3063759","POINT (-76.3063759 3.9131437)"
"2,022","2022 Nov 11 12:00:00 AM","URBANA","CARRERA-8-CALLE-18","CHOQUE","VEHICULO","0","1","0","3.9074741","-76.292709","POINT (-76.292709 3.9074741)"
"2,022","2022 Nov 12 12:00:00 AM","URBANA","CARRERA-9-CALLE-8","CHOQUE","VEHICULO","0","1","0","3.8994625","-76.2968451","POINT (-76.2968451 3.8994625)"
"2,022","2022 Nov 19 12:00:00 AM","URBANA","CARRERA-8-CALLE-13","CHOQUE","VEHICULO","0","1","0","3.9030346","-76.2943778","POINT (-76.2943778 3.9030346)"
"2,022","2022 Nov 21 12:00:00 AM","URBANA","CARRERA-9-CALLE-7","CHOQUE","0-DISPONIBLE","0","0","1","3.8986738","-76.2971495","POINT (-76.2971495 3.8986738)"
"2,022","2022 Nov 21 12:00:00 AM","URBANA","CALLE-9-CARRERA-4","CHOQUE","VEHICULO","0","1","0","3.8987953","-76.2922961","POINT (-76.2922961 3.8987953)"
"2,022","2022 Nov 25 12:00:00 AM","URBANA","CARRERA-9-CALLE-5-SUR","CHOQUE","VEHICULO","0","1","0","3.8908694","-76.2981064","POINT (-76.2981064 3.8908694)"
"2,022","2022 Dec 01 12:00:00 AM","URBANA","CARRERA-9-CALLE-16","VEHICULO","NA","0","0","1","3.9060475","-76.294093","POINT (-76.294093 3.9060475)"
"2,022","2022 Nov 02 12:00:00 AM","URBANA","CALLE-21-CARRERA-11","VEHICULO","NA","0","0","1","3.9110248","-76.2943577","POINT (-76.2943577 3.9110248)"
"2,022","2022 Dec 06 12:00:00 AM","URBANA","CARRERA--14-CALLE-4","VEHICULO","NA","0","0","1","3.8975246","-76.3023762","POINT (-76.3023762 3.8975246)"
"2,022","2022 Dec 06 12:00:00 AM","URBANA","CARRERA-15-CALLE-23","VEHICULO","NA","0","0","1","3.9137333","-76.2971585","POINT (-76.2971585 3.9137333)"
"2,022","2022 Dec 08 12:00:00 AM","URBANA","CALLE-4-CARRERA-8","VEHICULO","NA","0","0","1","3.8956045","-76.2972629","POINT (-76.2972629 3.8956045)"
"2,022","2022 Dec 14 12:00:00 AM","URBANA","CARRERA-1-CALLE-8","VEHICULO","NA","0","0","1","3.8969606","-76.2905613","POINT (-76.2905613 3.8969606)"
"2,022","2022 Dec 18 12:00:00 AM","URBANA","CARRERA-8-0.-4-43","VEHICULO","NA","0","0","1","3.896381","-76.297002","POINT (-76.297002 3.896381)"
"2,022","2022 Dec 18 12:00:00 AM","URBANA","CARRERA-11-CALLE-2","VEHICULO","NA","0","0","1","3.895049","-76.3000997","POINT (-76.3000997 3.895049)"
"2,022","2022 Dec 18 12:00:00 AM","URBANA","CARRERA-8-CALLE-13A","VEHICULO","NA","0","0","1","3.9036627","-76.2941227","POINT (-76.2941227 3.9036627)"
"2,022","2023 Dec 22 12:00:00 AM","URBANA","CALLE-11-CARRERA-7","VEHICULO","NA","0","0","1","3.9010395","-76.2938194","POINT (-76.2938194 3.9010395)"
"2,023","2023 Jan 01 12:00:00 AM","URBANA","CARRERA-15-CALLE-28","CHOQUE","VEHICULO","0","1","0","3.9172818","-76.2957492","POINT (-76.2957492 3.9172818)"
"2,023","2023 Jan 06 12:00:00 AM","URBANA","CARRERA-17-CALLE17","CHOQUE","VEHICULO","0","1","0","3.9100025","-76.3008092","POINT (-76.3008092 3.9100025)"
"2,023","2023 Jan 06 12:00:00 AM","URBANA","CALLE-4-CARRERA-2","CHOQUE","VEHICULO","0","0","0","3.8933896","-76.29247","POINT (-76.29247 3.8933896)"
"2,023","2023 Jan 10 12:00:00 AM","URBANA","CALLE-16-CARRERA-15","CHOQUE","VEHICULO","0","1","0","3.9084789","-76.2993152","POINT (-76.2993152 3.9084789)"
"2,023","2023 Jan 15 12:00:00 AM","URBANA","CALLE-17-CARRERA-16","CHOQUE","VEHICULO","0","1","0","3.9096551","-76.3000285","POINT (-76.3000285 3.9096551)"
"2,023","2023 Jan 18 12:00:00 AM","URBANA","CALLE-16-CARRERA-27A","CHOQUE","VEHICULO","0","1","0","3.9133111","-76.3066281","POINT (-76.3066281 3.9133111)"
"2,023","2023 Jan 21 12:00:00 AM","URBANA","CARRERA-5A-CALLE-14","CHOQUE","VEHICULO","0","1","0","3.9123101","-76.2911903","POINT (-76.2911903 3.9123101)"
"2,023","2023 Jan 22 12:00:00 AM","URBANA","CARRERA-14-CALLE-9","VOLCAMIENTO","NA","0","0","0","3.9019482","-76.3008736","POINT (-76.3008736 3.9019482)"
"2,023","2023 Jan 23 12:00:00 AM","URBANA","CARRERA-14-CALLE-27","CHOQUE","VEHICULO","0","1","0","3.9158627","-76.2953056","POINT (-76.2953056 3.9158627)"
"2,023","2023 Jan 25 12:00:00 AM","URBANA","CALLE-4-CARRERA-6","CHOQUE","VEHICULO","0","1","0","3.9010151","-76.290993","POINT (-76.290993 3.9010151)"
"2,023","2023 Jan 25 12:00:00 AM","URBANA","CARRERA-13-CALLE-10","CHOQUE","VEHICULO","0","1","0","3.9024844","-76.2996531","POINT (-76.2996531 3.9024844)"
"2,023","2023 Jan 29 12:00:00 AM","URBANA","CARRERA-9-CALLE16","CHOQUE","VEHICULO","0","1","1","3.9060475","-76.294093","POINT (-76.294093 3.9060475)"
"2,023","2023 Feb 02 12:00:00 AM","URBANA","CARRERA-12-CALLE-7-SUR","CHOQUE","VEHICULO","0","1","0","3.8891525","-76.3063757","POINT (-76.3063757 3.8891525)"
"2,023","2023 Feb 06 12:00:00 AM","URBANA","CARRERA-13-CALLE-8","CHOQUE","VEHICULO","0","1","0","3.9007222","-76.3002686","POINT (-76.3002686 3.9007222)"
"2,023","2023 Feb 22 12:00:00 AM","URBANA","CALLE-12-CARRERA-12","CHOQUE","VEHICULO","0","1","0","3.903593","-76.297931","POINT (-76.297931 3.903593)"
"2,023","2023 Feb 27 12:00:00 AM","URBANA","CALLE-1A-CARRERA-21","CHOQUE","VEHICULO","0","1","0","3.8940367","-76.3093661","POINT (-76.3093661 3.8940367)"
"2,023","2023 Mar 13 12:00:00 AM","URBANA","CARRERA-10-CALLE-11","CHOQUE","VEHICULO","0","1","0","3.9022757","-76.2968728","POINT (-76.2968728 3.9022757)"
"2,023","2023 Mar 13 12:00:00 AM","URBANA","CARRERA-15-CALLE-18","CHOQUE","VEHICULO","0","1","0","3.9100131","-76.2986576","POINT (-76.2986576 3.9100131)"
"2,023","2023 Mar 15 12:00:00 AM","URBANA","CALLE-7-CARRERA-5","CHOQUE","VEHICULO","0","1","0","3.9018036","-76.2887155","POINT (-76.2887155 3.9018036)"
"2,023","2023 Mar 17 12:00:00 AM","URBANA","CARERRA-11-CALLE-4","CHOQUE","VEHICULO","0","1","0","3.8968123","-76.2996746","POINT (-76.2996746 3.8968123)"
"2,023","2023 Mar 17 12:00:00 AM","URBANA","CARRERA-15-CALLE","CHOQUE","VEHICULO","0","1","0","3.9218169","-76.2942507","POINT (-76.2942507 3.9218169)"
"2,023","2023 Mar 20 12:00:00 AM","URBANA","CARRERA-9-CALLE-12","CHOQUE","VEHICULO","0","1","0","3.9026503","-76.2955242","POINT (-76.2955242 3.9026503)"
"2,023","2023 Mar 21 12:00:00 AM","URBANA","CARRERA-18-CALLE-17","CHOQUE","VEHICULO","0","1","0","3.9102668","-76.3014058","POINT (-76.3014058 3.9102668)"
"2,023","2023 Apr 02 12:00:00 AM","URBANA","CALLE-6-CARRERA--17","CHOQUE","VEHICULO","0","1","0","3.9001981","-76.3043951","POINT (-76.3043951 3.9001981)"
"2,023","2023 Apr 16 12:00:00 AM","URBANA","CARRERA-15-CALLE-28A","CHOQUE","VEHICULO","0","1","0","3.9185124","-76.2942507","POINT (-76.2942507 3.9185124)"
"2,023","2023 Apr 22 12:00:00 AM","URBANA","CALLE-4-VIA-LA-MAGADALENA","CHOQUE","VEHICULO","0","1","0","3.9010151","-76.290993","POINT (-76.290993 3.9010151)"
"2,023","2023 Apr 30 12:00:00 AM","URBANA","CARRERA-14-CALLE","CHOQUE","VEHICULO","0","1","0","3.9223771","-76.291355","POINT (-76.291355 3.9223771)"
"2,023","2023 Apr 30 12:00:00 AM","URBANA","CARRERA-15-CALLE-6","CHOQUE","VEHICULO","0","1","0","3.8995669","-76.3026318","POINT (-76.3026318 3.8995669)"
"2,023","2023 May 06 12:00:00 AM","URBANA","CALLE-4B-CARRERA-3","CHOQUE","VEHICULO","0","1","0","3.8946834","-76.2930915","POINT (-76.2930915 3.8946834)"
"2,023","2023 May 12 12:00:00 AM","URBANA","CARRERA-2E-CALLE-7","CHOQUE","VEHICULO","0","1","0","3.895983","-76.2903094","POINT (-76.2903094 3.895983)"
"2,023","2023 May 25 12:00:00 AM","URBANA","CALLE--18-CARRERA-15","CHOQUE","VEHICULO","0","1","0","3.9100131","-76.2986576","POINT (-76.2986576 3.9100131)"
"2,023","2023 May 26 12:00:00 AM","URBANA","CALLE-6-CARRERA-11","ATROPELLO","NA","0","1","0","3.8983928","-76.2991899","POINT (-76.2991899 3.8983928)"
"2,023","2023 Jun 05 12:00:00 AM","URBANA","CARRERA-12-CALLE-2-SUR","CHOQUE","VEHICULO","0","1","0","3.892779","-76.3017798","POINT (-76.3017798 3.892779)"
"2,023","2023 Jun 11 12:00:00 AM","URBANA","CALLE-10-CARRERA-7","CHOQUE","VEHICULO","0","1","0","3.9002397","-76.2942313","POINT (-76.2942313 3.9002397)"
"2,023","2023 Jun 15 12:00:00 AM","URBANA","CALLE-14-CARRERA-12","CHOQUE","VEHICULO","0","1","0","3.905465","-76.297368","POINT (-76.297368 3.905465)"
"2,023","2023 Jul 06 12:00:00 AM","URBANA","CARRERA---CALLE-7","CHOQUE","VEHICULO","0","1","0","3.9018036","-76.2887155","POINT (-76.2887155 3.9018036)"
"2,023","2023 Jul 17 12:00:00 AM","URBANA","CARRERA-14-CALLE-2","CHOQUE","VEHICULO","0","1","0","3.895852","-76.3028966","POINT (-76.3028966 3.895852)"
"2,023","2023 Jul 20 12:00:00 AM","URBANA","CARRERA--CALLE-7","CHOQUE","VEHICULO","0","1","0","3.9018036","-76.2887155","POINT (-76.2887155 3.9018036)"
"2,023","2023 Jul 27 12:00:00 AM","URBANA","CARRERA-14-CALLE-10","CHOQUE","VEHICULO","0","1","0","3.9027977","-76.3005583","POINT (-76.3005583 3.9027977)"
"2,023","2023 Aug 03 12:00:00 AM","URBANA","CALLE-12-CARRERA-14","CHOQUE","VEHICULO","0","1","0","3.90445","-76.3000322","POINT (-76.3000322 3.90445)"
"2,023","2023 Aug 05 12:00:00 AM","URBANA","CARRERA-1-CALLE-7","CHOQUE","VEHICULO","0","1","0","3.8961376","-76.2907721","POINT (-76.2907721 3.8961376)"
"2,023","2023 Aug 08 12:00:00 AM","URBANA","CARRERA-12-ENTRE-CALLE-5","CHOQUE","VEHICULO","0","1","0","3.8978083","-76.3003458","POINT (-76.3003458 3.8978083)"
"2,023","2023 Aug 08 12:00:00 AM","URBANA","CARRERA-11-CALLE-2","CHOQUE","VEHICULO","0","1","0","3.895049","-76.3000997","POINT (-76.3000997 3.895049)"
"2,023","2023 Aug 09 12:00:00 AM","URBANA","CARRERA-9-CALLE-12","CHOQUE","VEHICULO","0","1","0","3.9026503","-76.2955242","POINT (-76.2955242 3.9026503)"
"2,023","2023 Aug 10 12:00:00 AM","URBANA","CARERRA-14-CALLE-12","CHOQUE","VEHICULO","0","1","0","3.90445","-76.3000322","POINT (-76.3000322 3.90445)"
